"Rank","Player","Team","Positions","Yahoo","ESPN","AVG"
"1","Nikola Jokic","DEN","C","2","1","1.5"
"2","Victor Wembanyama","SAS","C","1","3","2.0"
"3","Luka Doncic","DAL","PG,SG DTD","3","2","2.5"
"4","Shai Gilgeous-Alexander","OKC","PG","4","4","4.0"
"5","Giannis Antetokounmpo","MIL","PF,C","5","5","5.0"
"6","Tyrese Haliburton","IND","PG,SG","8","7","7.5"
"7","Anthony Davis","LAL","PF,C","6","11","8.0"
"8","Anthony Edwards","MIN","SG,SF","10","8","8.5"
"9","Jayson Tatum","BOS","SF,PF","9","9","9.0"
"10","Domantas Sabonis","SAC","C,PF","13","6","9.5"
"11","Joel Embiid","PHI","C","7","10","9.5"
"12","Trae Young","ATL","PG","12","16","14.0"
"13","Donovan Mitchell","CLE","PG,SG","15","14","14.5"
"14","Jalen Brunson","NYK","PG","19","12","15.5"
"15","Stephen Curry","GSW","PG,SG","11","22","16.5"
"16","Kevin Durant","PHO","SF,PF","14","17","17.0"
"17","LeBron James","LAL","SF,PF","23","13","18.0"
"18","Devin Booker","PHO","PG,SG","18","18","19.0"
"19","Scottie Barnes","TOR","SG,SF,PF","20","19","19.0"
"20","James Harden","LAC","PG,SG","17","26","20.0"
"21","Chet Holmgren","OKC","PF,C","16","28","21.5"
"22","Karl-Anthony Towns","NYK","PF,C","24","21","21.5"
"23","De'Aaron Fox","SAC","PG","26","20","22.5"
"24","Damian Lillard","MIL","PG","22","24","24.0"
"25","Ja Morant","MEM","PG","34","15","24.5"
"26","LaMelo Ball","CHA","PG,SG","21","30","25.0"
"27","Tyrese Maxey","PHI","PG,SG","28","23","25.5"
"28","Alperen Sengun","HOU","C","27","29","27.5"
"29","Paolo Banchero","ORL","SF,PF","32","25","28.5"
"30","Kyrie Irving","DAL","PG,SG","25","32","29.0"
"31","Cade Cunningham","DET","PG,SG","33","31","31.5"
"32","Bam Adebayo","MIA","C","31","34","32.5"
"33","Lauri Markkanen","UTH","SF,PF","30","38","33.5"
"34","Dejounte Murray","NOR","PG,SG","35","37","36.0"
"35","Jaylen Brown","BOS","SG,SF","40","33","36.5"
"36","Paul George","PHI","SG,SF,PF DTD","29","43","37.0"
"37","Jalen Williams","OKC","SG,SF,PF DTD","37","44","39.0"
"38","Pascal Siakam","IND","PF,SF","50","27","40.0"
"39","Zion Williamson","NOR","PF,C","48","36","41.5"
"40","Desmond Bane","MEM","SG,SF","43","42","41.5"
"41","DeMar DeRozan","SAC","PF,SF","55","35","45.0"
"42","Jimmy Butler","MIA","PF,SF,SG","47","48","45.0"
"43","Rudy Gobert","MIN","C","46","46","45.5"
"44","Jalen Johnson","ATL","PF","41","53","46.5"
"45","Jamal Murray","DEN","PG,SG","51","45","47.0"
"46","Jaren Jackson Jr.","MEM","PF,C DTD","36","59","47.5"
"47","Evan Mobley","CLE","PF,C","39","57","47.5"
"48","Kawhi Leonard","LAC","SG,SF,PF OUT","42","41","47.5"
"49","Nikola Vucevic","CHI","PF,C","56","40","48.5"
"50","Myles Turner","IND","C","44","55","48.5"
"51","Fred VanVleet","HOU","PG","38","61","49.0"
"52","Franz Wagner","ORL","PF,SF","45","54","50.0"
"53","Mikal Bridges","NYK","SG,SF,PF","54","47","52.0"
"54","Miles Bridges","CHA","SF,PF","58","49","54.0"
