,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury
1,Victor Wembanyama,SAS,C,2.2,3.39,-,2.00,1.20,1.53,76.45,GTD,Rest
2,Nikola Jokic,DEN,C,2.0,1.67,-,2.40,1.90,1.75,77.53,,
3,Giannis Antetokounmpo,MIL,F,5.1,5.32,-,6.70,3.30,5.81,65.13,GTD,Rest
4,Luka Doncic,DAL,G,3.5,2.88,-,3.80,3.80,3.06,73.76,GTD,Calf
5,Shai Gilgeous-Alexander,OKC,G,4.6,3.97,-,4.50,5.20,4.12,69.44,,
6,Jayson Tatum,BOS,F,8.4,9.34,-,9.50,6.30,8.26,56.75,,
7,Domantas Sabonis,SAC,C,10.3,8.56,-,14.60,7.80,13.34,55.99,,
8,Anthony Davis,LAL,C,8.9,11.04,-,7.40,8.20,6.93,54.75,GTD,Rest
9,Anthony Edwards,MIN,G,9.4,8.64,-,10.10,9.60,11.91,58.80,GTD,Rest
10,Joel Embiid,PHI,C,10.5,11.19,-,9.60,10.60,8.46,55.23,GTD,Knee
11,Scottie Barnes,TOR,F,16.7,20.34,-,19.00,10.90,18.48,40.40,,
12,Paolo Banchero,ORL,F,24.7,26.98,-,34.60,12.50,40.34,27.76,,
13,Trae Young,ATL,G,14.3,17.52,-,12.50,12.80,11.54,44.58,GTD,Rest
14,LeBron James,LAL,F,17.6,14.12,-,24.20,14.40,22.33,44.39,GTD,Rest
15,Tyrese Haliburton,IND,G,10.7,8.95,-,8.40,14.80,8.1,57.73,,
16,Kevin Durant,PHO,F,17.9,19.03,-,18.30,16.50,16.12,39.81,,
17,Jalen Brunson,NYK,G,17.0,14.38,-,19.10,17.40,22.61,43.73,,
18,Ja Morant,MEM,G,23.4,16.17,-,35.20,18.70,32.48,42.67,,
19,Pascal Siakam,IND,F,32.5,29.75,-,48.30,19.30,48.09,25.81,,
20,Alperen Sengun,HOU,C,25.5,29.27,-,27.70,19.40,25.57,28.90,,
21,Jaylen Brown,BOS,F,32.4,34.06,-,40.90,22.10,45.93,21.05,,
22,De'Aaron Fox,SAC,G,23.2,21.23,-,26.10,22.40,25.03,36.28,GTD,Rest
23,Chet Holmgren,OKC,C,23.2,29.10,-,17.60,22.90,17.58,34.24,,
24,Devin Booker,PHO,G,21.5,19.51,-,20.00,25.00,18.55,36.90,,
25,Donovan Mitchell,CLE,G,19.8,16.07,-,17.00,26.30,15.77,45.74,,
T26,LaMelo Ball,CHA,G,26.3,29.48,-,22.30,27.20,20.62,32.13,,
T26,Bam Adebayo,MIA,C,31.3,34.41,-,32.20,27.20,33.04,22.96,GTD,Rest
28,James Harden,LAC,G,24.1,28.55,-,16.20,27.50,18.77,31.00,GTD,Rest
29,Jalen Johnson,ATL,F,43.9,60.12,-,41.40,30.30,41.01,13.35,GTD,Rest
30,Stephen Curry,GSW,G,21.9,22.57,-,12.40,30.70,14.14,36.51,GTD,Finger
31,DeMar DeRozan,SAC,F,40.5,36.71,-,54.10,30.80,51.01,18.01,GTD,Undisclosed
32,Tyrese Maxey,PHI,G,28.0,25.15,-,27.80,30.90,29.75,30.70,GTD,Thumb
33,Damian Lillard,MIL,G,28.3,27.98,-,24.30,32.60,25.26,29.91,GTD,Rest
34,Karl-Anthony Towns,NYK,F,25.9,21.70,-,22.10,33.80,31.18,38.43,,
